alsa-utils 1.2.16-1
appmanager 3.8.0-1
arduino-cli 1.5.1-1
awww 0.12.1-1
balena-etcher 2.1.6-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bat 0.26.1-2
bazaar 0.9.4-4
bchunk 1.2.2-8
bear 4.2.2-1
bind 9.20.29-1
binwalk 3.1.0-1
blockbench-bin 5.1.6-1
blueman 2.4.6-2
bluez-utils 5.87-2
breeze5 6.7.5-1
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
btop 1.4.7-1
c3c 0.8.4-1
ccid 1.8.3-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
ckb-next 0.6.2-4
clang 22.1.8-1
cliphist 1:0.7.0-2
cmake 4.4.3-2
cmatrix 2.0-4
cmus 2.12.0-7
cuda 13.4.1-1
dcd 1:0.16.3-1
deno 2.9.6-1
dfu-util 0.11-3
dkms 3.4.3-2
dmd 1:2.113.0-2
dmidecode 3.7-1
dnsmasq 2.93-1
docker 1:29.8.0-1
dolphin-emu 1:2606-3
doomrunner 1.9.2-2.2
dosfstools 4.2-5
dotnet-sdk 10.0.12.sdk112-1
dunst 1.13.2-2
easyeffects-git 8.2.9.r70.gaec324a-1
efibootmgr 18-4
emscripten 6.0.9-1
evtest 1.36-1
extra-cmake-modules 6.30.0-1
fasm 1.73.35-1
fastfetch 2.68.1-1
fbset 2.1-11
fcitx5 5.1.22-1
fcitx5-configtool 5.1.15-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.15-1
fd 10.5.0-3
ffmpegthumbnailer 2.3.1-1
ffnvcodec-headers 13.1.15.0-1
file-roller 44.7-1
firefox 155.0.1-1
fish 4.9.3-1
fisher 4.4.8-1
flatpak 1:1.18.2-1
flite 2.2-2
fontforge 20251009-5
fzf 0.74.4-1
game-devices-udev 1.0-1
gdb 17.2-1
ghostty 1.3.1-2
ghostty-nautilus 1.3.1-2
gifsicle 1.96-1
git 2.55.0-1
git-lfs 3.8.0-1
github-cli 2.101.0-1
glade 3.40.0+r31+g1b15f940-4
gnome-disk-utility 46.1-3
gnu-efi 4.0.4-1
gobject-introspection 1.86.0-2
google-chrome 153.0.8010.47-1
gradle 9.7.1-1
greetd 0.10.3-2
greetd-tuigreet 0.11.1-2
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-ugly 1.28.7-1
gutenprint 5.3.5-1
gvfs 1.60.3-1
gvfs-mtp 1.60.3-1
gvfs-smb 1.60.3-1
hexedit 1.6-3
hplip 1:3.26.4-1
htop 3.5.3-1
hypridle 0.1.8-2
hyprland 0.56.2-3
hyprlock 0.9.6-3
hyprpicker 0.4.7-4
hyprshot 1.3.0-4
i2c-tools 4.4-4
icoutils 0.32.3-4
imv 5.0.1-2
inkscape 1.4.4-6
innoextract 1.9-17
inotify-tools 4.25.9.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
intltool 0.51.0-6
ipp-usb 0.9.34-2
iwd 3.12-1
jdk-openjdk 26.0.2.1.u1-1
jdk11-openjdk 11.0.32.1.u1-1
jdk17-openjdk 17.0.20.1.u1-1
jdk21-openjdk 21.0.12.1.u1-1
jdk8-openjdk 8.504.u01-1
just 1.58.0-1
kdeconnect 26.08.1-1
kotlin 2.4.20-1
krita 6.0.4-1
kvantum 1.1.8-1
lazygit 0.65.1-1
lib32-giflib 6.1.3-1
lib32-gnutls 3.8.13-3
lib32-gtk3 1:3.24.52-1
lib32-libgcrypt 1.12.4-1
lib32-libjpeg-turbo 3.2.0-1
lib32-libpng 1.6.58-2
lib32-libpulse 17.0+r98+gb096704c0-1
lib32-libva 2.24.1-1
lib32-libxcomposite 0.4.7-1
lib32-libxinerama 1.1.6-1
lib32-libxslt 1.1.45-1
lib32-mpg123 1.33.7-1
lib32-ocl-icd 2.3.5-1
lib32-openal 1.25.2-1
lib32-sdl2-compat 2.32.70-1
lib32-v4l-utils 1.32.0-1
libadwaita 1:1.9.4-1
libdbusmenu-qt5 0.9.3+16.04.20160218-8
libgcc 16.2.1+r23+gd564253eb6c8-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-still 26.2.6-1
libserialport 0.1.2-1
libspatialindex 2.1.0-1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libusb-compat 0.1.9-1
libva-intel-driver 2.4.5-1
libva-utils 2.24.0-1
